	25C	27C	29C	31C	33C	35C	37C	39C	41C	43C	45C
525	0.0360107	0.0338745	0.0350952	0.034789999999999995	0.03417969999999999	0.0338745	0.0335693	0.032958999999999995	0.0332642	0.032653800000000004	0.03417969999999999
526	0.034789999999999995	0.0320435	0.0320435	0.0320435	0.032958999999999995	0.0320435	0.032653800000000004	0.0323486	0.0314331	0.0308228	0.032958999999999995
527	0.032653800000000004	0.0305176	0.0308228	0.0308228	0.0308228	0.0305176	0.030212400000000004	0.028991700000000002	0.029602099999999996	0.0292969	0.0308228
528	0.0317383	0.011596700000000001	0.0292969	0.029907200000000002	0.029602099999999996	0.029602099999999996	0.0286865	0.0286865	0.029602099999999996	0.028381299999999998	0.0292969
529	0.0308228	-0.0238037	0.027770999999999997	0.027465800000000002	0.027770999999999997	0.0271606	0.0268555	0.0265503	0.027465800000000002	0.0265503	0.027770999999999997
530	0.0286865	-0.023498500000000002	0.025634800000000003	0.026245099999999997	0.026245099999999997	0.0265503	0.026245099999999997	0.025634800000000003	0.0259399	0.0253296	0.0259399
531	0.0271606	-0.0238037	0.025024400000000002	0.0253296	0.0253296	0.024108900000000003	0.0238037	0.024108900000000003	0.0247192	0.024108900000000003	0.0247192
532	0.0253296	-0.023193400000000003	0.0228882	0.023498500000000002	0.0238037	0.023193400000000003	0.022583000000000002	0.0228882	0.022583000000000002	0.021667500000000003	0.023498500000000002
533	0.023193400000000003	-0.0238037	0.0222778	0.0228882	0.0219727	0.020752	0.021667500000000003	0.021667500000000003	0.0213623	0.020752	0.022583000000000002
534	0.0228882	-0.023193400000000003	0.0201416	0.020446799999999998	0.0213623	0.020446799999999998	0.0198364	0.020446799999999998	0.0198364	0.018615700000000002	0.0210571
535	0.020752	-0.0238037	0.019531299999999998	0.0189209	0.019531299999999998	0.0189209	0.0189209	0.0180054	0.0189209	0.0183105	0.0192261
536	0.0210571	-0.023498500000000002	0.017394999999999997	0.0183105	0.0183105	0.0180054	0.0183105	0.0177002	0.0167847	0.0170898	0.0189209
537	0.0183105	-0.024108900000000003	0.017394999999999997	0.0170898	0.0170898	0.0167847	0.0170898	0.016479499999999998	0.016479499999999998	0.0161743	0.0167847
538	0.0180054	-0.023498500000000002	0.015563999999999998	0.015563999999999998	0.0152588	0.0152588	0.0158691	0.015563999999999998	0.0146484	0.0143433	0.0158691
539	0.016479499999999998	-0.0238037	0.0146484	0.0152588	0.0143433	0.0143433	0.0146484	0.014953600000000001	0.0143433	0.012817400000000001	0.0146484
540	0.015563999999999998	-0.023498500000000002	0.0140381	0.0131226	0.0134277	0.013732900000000001	0.012817400000000001	0.0131226	0.012817400000000001	0.011596700000000001	0.013732900000000001
541	0.0143433	-0.0238037	0.012512200000000001	0.0131226	0.0131226	0.012817400000000001	0.012512200000000001	0.012206999999999999	0.012206999999999999	0.011291500000000001	0.0131226
542	0.013732900000000001	-0.023498500000000002	0.0109863	0.0109863	0.0109863	0.0109863	0.0119019	0.011596700000000001	0.0109863	0.010681200000000002	0.0119019
543	0.0119019	-0.024108900000000003	0.010681200000000002	0.010376	0.0109863	0.010376	0.00976563	0.00946045	0.0109863	0.0100708	0.0100708
544	0.011291500000000001	-0.023498500000000002	0.00976563	0.00915527	0.00946045	0.00976563	0.00915527	0.00915527	0.00976563	0.00793457	0.0100708
545	0.0100708	-0.0238037	0.00854492	0.00823975	0.00915527	0.00762939	0.00823975	0.00854492	0.00823975	0.00793457	0.00762939
546	0.0088501	-0.0238037	0.00793457	0.00793457	0.00701904	0.00732422	0.00671387	0.00701904	0.00701904	0.00640869	0.00823975
547	0.00793457	-0.023498500000000002	0.00701904	0.00640869	0.00671387	0.00640869	0.00640869	0.00610352	0.00610352	0.00518799	0.00640869
548	0.00640869	-0.023498500000000002	0.00518799	0.00518799	0.00518799	0.00488281	0.00518799	0.00488281	0.00518799	0.00396729	0.00579834
549	0.00579834	-0.0238037	0.00549316	0.00488281	0.00427246	0.00396729	0.00427246	0.00396729	0.00457764	0.00427246	0.00457764
550	0.00488281	-0.023498500000000002	0.00366211	0.00396729	0.00335693	0.00366211	0.00366211	0.00335693	0.00366211	0.00335693	0.00396729
